gene_symbol	log2FoldChange	pvalue	padj	significance
ENSG00000259715	-0.911617747635662	0.644323546222182	NA	Not significant
MIR4712	NA	NA	NA	Not significant
AHCYP7	-0.589607648670375	0.79301284998156	NA	Not significant
ENSG00000259618	-0.527466498805621	0.573830203272368	NA	Not significant
ENSG00000259684	-0.341335175755649	0.846283387306531	NA	Not significant
RN7SL354P	0.333525234733083	0.796153564265254	NA	Not significant
ENSG00000259773	-0.368326645488645	0.893310076783033	NA	Not significant
ENSG00000241130	-0.549000608432912	0.866940003412431	NA	Not significant
ENSG00000259204	-0.789464263153442	0.451330350665775	NA	Not significant
MIR4713	-0.442900047098772	0.744499030352263	NA	Not significant
ENSG00000259701	-0.766804959041076	0.779175001328526	NA	Not significant
MIR7973-2	-0.180382797719837	0.956098945071449	NA	Not significant
MIR7973-1	-0.415397629574689	0.687796438411344	NA	Not significant
ENSG00000270378	NA	NA	NA	Not significant
ENSG00000259241	-1.18990638414624	0.582918852070492	NA	Not significant
ENSG00000259296	-0.36056023803003	0.729305056705633	NA	Not significant
ENSG00000274954	-0.0599280812044663	0.91755588724202	NA	Not significant
ENSG00000277677	-0.466650168772926	0.886753558172694	NA	Not significant
ENSG00000259632	0.0105756060854995	0.993531077716519	NA	Not significant
ENSG00000259201	-0.461901856895043	0.793121527321807	NA	Not significant
ENSG00000259185	-1.10405553719253	0.273456175274188	NA	Not significant
ENSG00000259712	-1.40831889901277	0.210021536067145	NA	Not significant
ENSG00000259178	-1.21097182545407	0.275292089051824	NA	Not significant
ENSG00000242327	-0.461823858847419	0.671368526392916	NA	Not significant
ENSG00000259327	-0.599245380351774	0.486585713987916	NA	Not significant
ENSG00000259709	0.487295135902572	0.702697718511279	NA	Not significant
ENSG00000206995	-0.626168583017238	0.693438268356838	NA	Not significant
MIR1266	0.65383793148776	0.513832202695996	NA	Not significant
EEF1B2P1	-0.547345908111004	0.749940178232383	NA	Not significant
ENSG00000260618	-0.63135556906946	0.847208360494756	NA	Not significant
ENSG00000259203	0.668857517701424	0.731993713999771	NA	Not significant
RPSAP55	0.658608776308135	0.665189277809722	NA	Not significant
LINC02490	-1.97432602433982	0.24850441525218	NA	Not significant
RNU2-53P	NA	NA	NA	Not significant
RNU6-449P	NA	NA	NA	Not significant
ENSG00000259301	NA	NA	NA	Not significant
ENSG00000280362	-1.13846354215273	0.548781913551437	NA	Not significant
ENSG00000259669	-0.466251430723625	0.886845460894084	NA	Not significant
ENSG00000259619	-0.342903546824722	0.916654403516215	NA	Not significant
HNRNPA1P74	-0.549000608432912	0.866940003412431	NA	Not significant
ENSG00000260937	NA	NA	NA	Not significant
DNAAF4-CCPG1	NA	NA	NA	Not significant
ENSG00000283891	-0.717941720511134	0.405974839298146	NA	Not significant
ENSG00000260036	1.05024733704027	0.120046584005319	NA	Not significant
ENSG00000259180	-0.46660796754975	0.886763730996787	NA	Not significant
ENSG00000259369	0.151641016194834	0.963088569939418	NA	Not significant
RN7SL568P	-0.466650168772926	0.886753558172694	NA	Not significant
CD24P2	-0.440753899654661	0.680767386014299	NA	Not significant
RNU6-1287P	NA	NA	NA	Not significant
HMGB1P33	0.24467851574048	0.815481207418966	NA	Not significant
ENSG00000279683	-0.46660796754975	0.886763730996787	NA	Not significant
ENSG00000225625	NA	NA	NA	Not significant
HNRNPA3P11	-0.567585223928959	0.65811161493011	NA	Not significant
ENSG00000239035	-0.466650168772926	0.886753558172694	NA	Not significant
LINC01413	-0.217205374895735	0.864045450328475	NA	Not significant
NDUFB10P1	NA	NA	NA	Not significant
RNU6-844P	NA	NA	NA	Not significant
ENSG00000261489	-0.549000608432912	0.866940003412431	NA	Not significant
ENSG00000261265	0.0718886071120345	0.959003334680468	NA	Not significant
ENSG00000240874	NA	NA	NA	Not significant
ENSG00000259477	-1.72378350318677	0.164588642518461	NA	Not significant
ENSG00000274719	-2.13475545406324	0.0763382035984792	NA	Not significant
ENSG00000259285	-1.02875081421699	0.645090359273583	NA	Not significant
ENSG00000240934	-0.259232320347089	0.936941432393363	NA	Not significant
ENSG00000277229	0.176491755606524	0.810796641464785	NA	Not significant
ENSG00000277790	0.656154517935406	0.73953365822373	NA	Not significant
ENSG00000259476	-0.270563042179599	0.739674619318411	NA	Not significant
ENSG00000259250	-0.63135556906946	0.847208360494756	NA	Not significant
